algorithm,vertex count,edge count,density,cover size,duration (s)
exact exhaustive,2,0,0.0000,0,0.0010183
exact increasing size,2,0,0.0000,0,0.0000051
exact alex optimization,2,0,0.0000,0,0.0000046
approximation two factor,2,0,0.0000,0,0.0007445
approximation one by one,2,0,0.0000,0,0.0000099
exact exhaustive,2,1,1.0000,1,0.0000276
exact increasing size,2,1,1.0000,1,0.00003
exact alex optimization,2,1,1.0000,1,0.0000976
approximation two factor,2,1,1.0000,2,0.0000327
approximation one by one,2,1,1.0000,1,0.0000263
exact exhaustive,2,1,1.0000,1,0.0000139
exact increasing size,2,1,1.0000,1,0.0000204
exact alex optimization,2,1,1.0000,1,0.0000368
approximation two factor,2,1,1.0000,2,0.0000327
approximation one by one,2,1,1.0000,1,0.0000456
exact exhaustive,2,1,1.0000,1,0.000014
exact increasing size,2,1,1.0000,1,0.0000193
exact alex optimization,2,1,1.0000,1,0.0000346
approximation two factor,2,1,1.0000,2,0.00003
approximation one by one,2,1,1.0000,1,0.0000392
exact exhaustive,2,1,1.0000,1,0.0000149
exact increasing size,2,1,1.0000,1,0.0000231
exact alex optimization,2,1,1.0000,1,0.0000352
approximation two factor,2,1,1.0000,2,0.0000255
approximation one by one,2,1,1.0000,1,0.0000358
exact exhaustive,2,0,0.0000,0,0.0000015
exact increasing size,2,0,0.0000,0,0.0000018
exact alex optimization,2,0,0.0000,0,0.0000016
approximation two factor,2,0,0.0000,0,0.0000071
approximation one by one,2,0,0.0000,0,0.0000056
exact exhaustive,2,1,1.0000,1,0.0000178
exact increasing size,2,1,1.0000,1,0.0000248
exact alex optimization,2,1,1.0000,1,0.0000426
approximation two factor,2,1,1.0000,2,0.0000258
approximation one by one,2,1,1.0000,1,0.0000222
exact exhaustive,2,1,1.0000,1,0.0000141
exact increasing size,2,1,1.0000,1,0.0000243
exact alex optimization,2,1,1.0000,1,0.0000404
approximation two factor,2,1,1.0000,2,0.0000272
approximation one by one,2,1,1.0000,1,0.000024
exact exhaustive,2,1,1.0000,1,0.0000318
exact increasing size,2,1,1.0000,1,0.0000286
exact alex optimization,2,1,1.0000,1,0.0000376
approximation two factor,2,1,1.0000,2,0.0000316
approximation one by one,2,1,1.0000,1,0.0000264
exact exhaustive,2,1,1.0000,1,0.0000128
exact increasing size,2,1,1.0000,1,0.000019
exact alex optimization,2,1,1.0000,1,0.0000317
approximation two factor,2,1,1.0000,2,0.0000358
approximation one by one,2,1,1.0000,1,0.0000268
exact exhaustive,2,1,1.0000,1,0.0000112
exact increasing size,2,1,1.0000,1,0.0000188
exact alex optimization,2,1,1.0000,1,0.0000315
approximation two factor,2,1,1.0000,2,0.000031
approximation one by one,2,1,1.0000,1,0.000032
exact exhaustive,2,1,1.0000,1,0.0000157
exact increasing size,2,1,1.0000,1,0.0000298
exact alex optimization,2,1,1.0000,1,0.0000475
approximation two factor,2,1,1.0000,2,0.0000425
approximation one by one,2,1,1.0000,1,0.0000317
exact exhaustive,3,0,0.0000,0,0.0000014
exact increasing size,3,0,0.0000,0,0.0000071
exact alex optimization,3,0,0.0000,0,0.0000027
approximation two factor,3,0,0.0000,0,0.0000084
approximation one by one,3,0,0.0000,0,0.000009
exact exhaustive,3,1,0.3333,1,0.0000212
exact increasing size,3,1,0.3333,1,0.0000248
exact alex optimization,3,1,0.3333,1,0.0000442
approximation two factor,3,1,0.3333,2,0.0000241
approximation one by one,3,1,0.3333,1,0.0000193
exact exhaustive,3,1,0.3333,1,0.0000143
exact increasing size,3,1,0.3333,1,0.0000343
exact alex optimization,3,1,0.3333,1,0.0000448
approximation two factor,3,1,0.3333,2,0.0000256
approximation one by one,3,1,0.3333,1,0.0000194
exact exhaustive,3,1,0.3333,1,0.0000178
exact increasing size,3,1,0.3333,1,0.0000234
exact alex optimization,3,1,0.3333,1,0.0000721
approximation two factor,3,1,0.3333,2,0.0000616
approximation one by one,3,1,0.3333,1,0.0000266
exact exhaustive,3,0,0.0000,0,0.0000016
exact increasing size,3,0,0.0000,0,0.0000093
exact alex optimization,3,0,0.0000,0,0.0000023
approximation two factor,3,0,0.0000,0,0.0000093
approximation one by one,3,0,0.0000,0,0.000009
exact exhaustive,3,2,0.6667,1,0.0000767
exact increasing size,3,2,0.6667,1,0.0000614
exact alex optimization,3,2,0.6667,1,0.0000478
approximation two factor,3,2,0.6667,2,0.0000231
approximation one by one,3,2,0.6667,1,0.0000359
exact exhaustive,3,3,1.0000,2,0.0000157
exact increasing size,3,3,1.0000,2,0.0000444
exact alex optimization,3,3,1.0000,2,0.0000637
approximation two factor,3,3,1.0000,2,0.0000396
approximation one by one,3,3,1.0000,2,0.0000658
exact exhaustive,3,3,1.0000,2,0.0000477
exact increasing size,3,3,1.0000,2,0.0000346
exact alex optimization,3,3,1.0000,2,0.0000441
approximation two factor,3,3,1.0000,2,0.0000217
approximation one by one,3,3,1.0000,2,0.0000222
exact exhaustive,3,3,1.0000,2,0.0000194
exact increasing size,3,3,1.0000,2,0.0000423
exact alex optimization,3,3,1.0000,2,0.0000371
approximation two factor,3,3,1.0000,2,0.0000191
approximation one by one,3,3,1.0000,2,0.0000268
exact exhaustive,3,3,1.0000,2,0.0000142
exact increasing size,3,3,1.0000,2,0.0000276
exact alex optimization,3,3,1.0000,2,0.0000704
approximation two factor,3,3,1.0000,2,0.0000194
approximation one by one,3,3,1.0000,2,0.0000204
exact exhaustive,3,3,1.0000,2,0.0000212
exact increasing size,3,3,1.0000,2,0.0000425
exact alex optimization,3,3,1.0000,2,0.0000918
approximation two factor,3,3,1.0000,2,0.0001393
approximation one by one,3,3,1.0000,2,0.000067
exact exhaustive,3,3,1.0000,2,0.0000232
exact increasing size,3,3,1.0000,2,0.0000338
exact alex optimization,3,3,1.0000,2,0.0000436
approximation two factor,3,3,1.0000,2,0.0000241
approximation one by one,3,3,1.0000,2,0.0000229
exact exhaustive,4,1,0.1667,1,0.0000147
exact increasing size,4,1,0.1667,1,0.0000226
exact alex optimization,4,1,0.1667,1,0.0000255
approximation two factor,4,1,0.1667,2,0.0000203
approximation one by one,4,1,0.1667,1,0.0000144
exact exhaustive,4,2,0.3333,1,0.0000171
exact increasing size,4,2,0.3333,1,0.0000225
exact alex optimization,4,2,0.3333,1,0.000048
approximation two factor,4,2,0.3333,2,0.0000202
approximation one by one,4,2,0.3333,2,0.0000219
exact exhaustive,4,4,0.6667,2,0.0000229
exact increasing size,4,4,0.6667,2,0.000033
exact alex optimization,4,4,0.6667,2,0.0000559
approximation two factor,4,4,0.6667,4,0.0000997
approximation one by one,4,4,0.6667,3,0.0000554
exact exhaustive,4,4,0.6667,2,0.0000423
exact increasing size,4,4,0.6667,2,0.0000583
exact alex optimization,4,4,0.6667,2,0.0000592
approximation two factor,4,4,0.6667,4,0.0000297
approximation one by one,4,4,0.6667,3,0.0000256
exact exhaustive,4,5,0.8333,2,0.0000186
exact increasing size,4,5,0.8333,2,0.0000332
exact alex optimization,4,5,0.8333,2,0.0000478
approximation two factor,4,5,0.8333,4,0.0000276
approximation one by one,4,5,0.8333,3,0.0000278
exact exhaustive,4,5,0.8333,2,0.0000137
exact increasing size,4,5,0.8333,2,0.0000292
exact alex optimization,4,5,0.8333,2,0.0000438
approximation two factor,4,5,0.8333,4,0.000027
approximation one by one,4,5,0.8333,2,0.0000262
exact exhaustive,4,6,1.0000,3,0.0000203
exact increasing size,4,6,1.0000,3,0.0000511
exact alex optimization,4,6,1.0000,3,0.0000537
approximation two factor,4,6,1.0000,4,0.0000287
approximation one by one,4,6,1.0000,3,0.0000408
exact exhaustive,4,5,0.8333,2,0.0000652
exact increasing size,4,5,0.8333,2,0.0000724
exact alex optimization,4,5,0.8333,2,0.000099
approximation two factor,4,5,0.8333,4,0.000045
approximation one by one,4,5,0.8333,3,0.0000302
exact exhaustive,4,6,1.0000,3,0.000022
exact increasing size,4,6,1.0000,3,0.0000529
exact alex optimization,4,6,1.0000,3,0.0000603
approximation two factor,4,6,1.0000,4,0.0000485
approximation one by one,4,6,1.0000,3,0.0000344
exact exhaustive,4,6,1.0000,3,0.0000195
exact increasing size,4,6,1.0000,3,0.0000627
exact alex optimization,4,6,1.0000,3,0.0000476
approximation two factor,4,6,1.0000,4,0.0000318
approximation one by one,4,6,1.0000,3,0.0000331
exact exhaustive,4,6,1.0000,3,0.0000158
exact increasing size,4,6,1.0000,3,0.000042
exact alex optimization,4,6,1.0000,3,0.0000533
approximation two factor,4,6,1.0000,4,0.0000273
approximation one by one,4,6,1.0000,3,0.000032
exact exhaustive,4,6,1.0000,3,0.0000317
exact increasing size,4,6,1.0000,3,0.0000555
exact alex optimization,4,6,1.0000,3,0.0000795
approximation two factor,4,6,1.0000,4,0.0001294
approximation one by one,4,6,1.0000,3,0.0000532
exact exhaustive,5,2,0.2000,1,0.0000215
exact increasing size,5,2,0.2000,1,0.0000257
exact alex optimization,5,2,0.2000,1,0.0000312
approximation two factor,5,2,0.2000,2,0.0000267
approximation one by one,5,2,0.2000,1,0.0000134
exact exhaustive,5,2,0.2000,1,0.0000176
exact increasing size,5,2,0.2000,1,0.0000253
exact alex optimization,5,2,0.2000,1,0.0000224
approximation two factor,5,2,0.2000,2,0.0000157
approximation one by one,5,2,0.2000,2,0.0000154
exact exhaustive,5,5,0.5000,3,0.0000232
exact increasing size,5,5,0.5000,3,0.0000285
exact alex optimization,5,5,0.5000,3,0.0000451
approximation two factor,5,5,0.5000,4,0.0000233
approximation one by one,5,5,0.5000,3,0.0000235
exact exhaustive,5,5,0.5000,3,0.000048
exact increasing size,5,5,0.5000,3,0.0000387
exact alex optimization,5,5,0.5000,3,0.0000843
approximation two factor,5,5,0.5000,4,0.0000462
approximation one by one,5,5,0.5000,4,0.0000818
exact exhaustive,5,3,0.3000,2,0.0000246
exact increasing size,5,3,0.3000,2,0.0000195
exact alex optimization,5,3,0.3000,2,0.000078
approximation two factor,5,3,0.3000,2,0.0000238
approximation one by one,5,3,0.3000,2,0.0000168
exact exhaustive,5,9,0.9000,3,0.0000243
exact increasing size,5,9,0.9000,3,0.0000259
exact alex optimization,5,9,0.9000,3,0.0000969
approximation two factor,5,9,0.9000,4,0.0000287
approximation one by one,5,9,0.9000,4,0.0000281
exact exhaustive,5,8,0.8000,3,0.0000253
exact increasing size,5,8,0.8000,3,0.0000343
exact alex optimization,5,8,0.8000,3,0.0000915
approximation two factor,5,8,0.8000,4,0.0000247
approximation one by one,5,8,0.8000,4,0.0000331
exact exhaustive,5,8,0.8000,3,0.0000396
exact increasing size,5,8,0.8000,3,0.0000569
exact alex optimization,5,8,0.8000,3,0.0000778
approximation two factor,5,8,0.8000,4,0.0000898
approximation one by one,5,8,0.8000,4,0.0000484
exact exhaustive,5,10,1.0000,4,0.0000581
exact increasing size,5,10,1.0000,4,0.0000471
exact alex optimization,5,10,1.0000,4,0.0000747
approximation two factor,5,10,1.0000,4,0.0000268
approximation one by one,5,10,1.0000,4,0.0000287
exact exhaustive,5,10,1.0000,4,0.0000325
exact increasing size,5,10,1.0000,4,0.0000396
exact alex optimization,5,10,1.0000,4,0.0000621
approximation two factor,5,10,1.0000,4,0.0000236
approximation one by one,5,10,1.0000,4,0.000025
exact exhaustive,5,10,1.0000,4,0.0000311
exact increasing size,5,10,1.0000,4,0.0000511
exact alex optimization,5,10,1.0000,4,0.0000617
approximation two factor,5,10,1.0000,4,0.000047
approximation one by one,5,10,1.0000,4,0.000076
exact exhaustive,5,10,1.0000,4,0.0000434
exact increasing size,5,10,1.0000,4,0.0000595
exact alex optimization,5,10,1.0000,4,0.000123
approximation two factor,5,10,1.0000,4,0.0001743
approximation one by one,5,10,1.0000,4,0.0000485
exact exhaustive,6,0,0.0000,0,0.0000009
exact increasing size,6,0,0.0000,0,0.000001
exact alex optimization,6,0,0.0000,0,0.0000013
approximation two factor,6,0,0.0000,0,0.0000051
approximation one by one,6,0,0.0000,0,0.0000042
exact exhaustive,6,5,0.3333,3,0.0000418
exact increasing size,6,5,0.3333,3,0.0000253
exact alex optimization,6,5,0.3333,3,0.0000625
approximation two factor,6,5,0.3333,4,0.0000212
approximation one by one,6,5,0.3333,3,0.0000245
exact exhaustive,6,8,0.5333,3,0.0000498
exact increasing size,6,8,0.5333,3,0.0000323
exact alex optimization,6,8,0.5333,3,0.0000663
approximation two factor,6,8,0.5333,4,0.0000369
approximation one by one,6,8,0.5333,4,0.0000331
exact exhaustive,6,10,0.6667,4,0.0000602
exact increasing size,6,10,0.6667,4,0.0000456
exact alex optimization,6,10,0.6667,4,0.000107
approximation two factor,6,10,0.6667,6,0.0000449
approximation one by one,6,10,0.6667,5,0.0000396
exact exhaustive,6,12,0.8000,4,0.0000868
exact increasing size,6,12,0.8000,4,0.0000706
exact alex optimization,6,12,0.8000,4,0.0000833
approximation two factor,6,12,0.8000,4,0.0000341
approximation one by one,6,12,0.8000,4,0.000028
exact exhaustive,6,8,0.5333,3,0.0000405
exact increasing size,6,8,0.5333,3,0.0000342
exact alex optimization,6,8,0.5333,3,0.0000689
approximation two factor,6,8,0.5333,4,0.0000236
approximation one by one,6,8,0.5333,4,0.0000312
exact exhaustive,6,11,0.7333,4,0.0000557
exact increasing size,6,11,0.7333,4,0.0000672
exact alex optimization,6,11,0.7333,4,0.0001277
approximation two factor,6,11,0.7333,4,0.0000271
approximation one by one,6,11,0.7333,4,0.0000491
exact exhaustive,6,13,0.8667,4,0.0000713
exact increasing size,6,13,0.8667,4,0.0000472
exact alex optimization,6,13,0.8667,4,0.0000884
approximation two factor,6,13,0.8667,6,0.0000542
approximation one by one,6,13,0.8667,5,0.00004
exact exhaustive,6,15,1.0000,5,0.0000851
exact increasing size,6,15,1.0000,5,0.0000937
exact alex optimization,6,15,1.0000,5,0.0001025
approximation two factor,6,15,1.0000,6,0.0000321
approximation one by one,6,15,1.0000,5,0.0000361
exact exhaustive,6,15,1.0000,5,0.000062
exact increasing size,6,15,1.0000,5,0.0000596
exact alex optimization,6,15,1.0000,5,0.0000945
approximation two factor,6,15,1.0000,6,0.0000313
approximation one by one,6,15,1.0000,5,0.0000271
exact exhaustive,6,15,1.0000,5,0.0000634
exact increasing size,6,15,1.0000,5,0.0000614
exact alex optimization,6,15,1.0000,5,0.0001007
approximation two factor,6,15,1.0000,6,0.0000589
approximation one by one,6,15,1.0000,5,0.0000334
exact exhaustive,6,15,1.0000,5,0.0000651
exact increasing size,6,15,1.0000,5,0.0000547
exact alex optimization,6,15,1.0000,5,0.0001235
approximation two factor,6,15,1.0000,6,0.00005
approximation one by one,6,15,1.0000,5,0.0000797
exact exhaustive,7,3,0.1429,2,0.0000782
exact increasing size,7,3,0.1429,2,0.0000173
exact alex optimization,7,3,0.1429,2,0.0001141
approximation two factor,7,3,0.1429,2,0.000018
approximation one by one,7,3,0.1429,2,0.0000137
exact exhaustive,7,7,0.3333,3,0.0000606
exact increasing size,7,7,0.3333,3,0.0000321
exact alex optimization,7,7,0.3333,3,0.000048
approximation two factor,7,7,0.3333,6,0.0000209
approximation one by one,7,7,0.3333,3,0.0000125
exact exhaustive,7,10,0.4762,4,0.0000977
exact increasing size,7,10,0.4762,4,0.0000546
exact alex optimization,7,10,0.4762,4,0.0000818
approximation two factor,7,10,0.4762,6,0.0000318
approximation one by one,7,10,0.4762,4,0.0000221
exact exhaustive,7,9,0.4286,3,0.0000774
exact increasing size,7,9,0.4286,3,0.0000358
exact alex optimization,7,9,0.4286,3,0.0001035
approximation two factor,7,9,0.4286,4,0.000028
approximation one by one,7,9,0.4286,5,0.0000194
exact exhaustive,7,14,0.6667,4,0.0000837
exact increasing size,7,14,0.6667,4,0.0000768
exact alex optimization,7,14,0.6667,4,0.0002086
approximation two factor,7,14,0.6667,6,0.0000495
approximation one by one,7,14,0.6667,6,0.0000273
exact exhaustive,7,15,0.7143,4,0.0000843
exact increasing size,7,15,0.7143,4,0.0000628
exact alex optimization,7,15,0.7143,4,0.0001148
approximation two factor,7,15,0.7143,6,0.0000299
approximation one by one,7,15,0.7143,6,0.0000263
exact exhaustive,7,18,0.8571,5,0.0001645
exact increasing size,7,18,0.8571,5,0.0000878
exact alex optimization,7,18,0.8571,5,0.0001423
approximation two factor,7,18,0.8571,6,0.0000387
approximation one by one,7,18,0.8571,6,0.0000246
exact exhaustive,7,19,0.9048,5,0.0001116
exact increasing size,7,19,0.9048,5,0.0000972
exact alex optimization,7,19,0.9048,5,0.0001382
approximation two factor,7,19,0.9048,6,0.0000287
approximation one by one,7,19,0.9048,6,0.0000251
exact exhaustive,7,21,1.0000,6,0.0001184
exact increasing size,7,21,1.0000,6,0.0001252
exact alex optimization,7,21,1.0000,6,0.0002614
approximation two factor,7,21,1.0000,6,0.0000589
approximation one by one,7,21,1.0000,6,0.0000387
exact exhaustive,7,21,1.0000,6,0.0001441
exact increasing size,7,21,1.0000,6,0.0001445
exact alex optimization,7,21,1.0000,6,0.0001816
approximation two factor,7,21,1.0000,6,0.0000276
approximation one by one,7,21,1.0000,6,0.0000285
exact exhaustive,7,21,1.0000,6,0.0001035
exact increasing size,7,21,1.0000,6,0.000093
exact alex optimization,7,21,1.0000,6,0.0001332
approximation two factor,7,21,1.0000,6,0.0000254
approximation one by one,7,21,1.0000,6,0.0000449
exact exhaustive,7,21,1.0000,6,0.0001006
exact increasing size,7,21,1.0000,6,0.0001055
exact alex optimization,7,21,1.0000,6,0.0001354
approximation two factor,7,21,1.0000,6,0.0000244
approximation one by one,7,21,1.0000,6,0.0000287
exact exhaustive,8,2,0.0714,2,0.0001078
exact increasing size,8,2,0.0714,2,0.0000135
exact alex optimization,8,2,0.0714,2,0.0000523
approximation two factor,8,2,0.0714,4,0.0000231
approximation one by one,8,2,0.0714,2,0.0000247
exact exhaustive,8,5,0.1786,2,0.0001057
exact increasing size,8,5,0.1786,2,0.0000242
exact alex optimization,8,5,0.1786,2,0.0001047
approximation two factor,8,5,0.1786,4,0.0000198
approximation one by one,8,5,0.1786,3,0.0000156
exact exhaustive,8,11,0.3929,4,0.0001226
exact increasing size,8,11,0.3929,4,0.0000602
exact alex optimization,8,11,0.3929,4,0.0001324
approximation two factor,8,11,0.3929,6,0.0000197
approximation one by one,8,11,0.3929,5,0.0000206
exact exhaustive,8,14,0.5000,5,0.0001562
exact increasing size,8,14,0.5000,5,0.0001376
exact alex optimization,8,14,0.5000,5,0.0001683
approximation two factor,8,14,0.5000,8,0.0000242
approximation one by one,8,14,0.5000,5,0.0000201
exact exhaustive,8,21,0.7500,6,0.0002073
exact increasing size,8,21,0.7500,6,0.0001517
exact alex optimization,8,21,0.7500,6,0.0002054
approximation two factor,8,21,0.7500,6,0.0000407
approximation one by one,8,21,0.7500,7,0.0000687
exact exhaustive,8,19,0.6786,5,0.0001677
exact increasing size,8,19,0.6786,5,0.0001214
exact alex optimization,8,19,0.6786,5,0.0005137
approximation two factor,8,19,0.6786,8,0.0000308
approximation one by one,8,19,0.6786,6,0.000038
exact exhaustive,8,26,0.9286,6,0.0002085
exact increasing size,8,26,0.9286,6,0.0001868
exact alex optimization,8,26,0.9286,6,0.0002741
approximation two factor,8,26,0.9286,8,0.0000567
approximation one by one,8,26,0.9286,6,0.0000503
exact exhaustive,8,23,0.8214,6,0.0004134
exact increasing size,8,23,0.8214,6,0.0001481
exact alex optimization,8,23,0.8214,6,0.0002333
approximation two factor,8,23,0.8214,6,0.000027
approximation one by one,8,23,0.8214,7,0.000031
exact exhaustive,8,26,0.9286,6,0.0002058
exact increasing size,8,26,0.9286,6,0.0001757
exact alex optimization,8,26,0.9286,6,0.0002688
approximation two factor,8,26,0.9286,8,0.0000455
approximation one by one,8,26,0.9286,7,0.0000563
exact exhaustive,8,28,1.0000,7,0.0002417
exact increasing size,8,28,1.0000,7,0.0001609
exact alex optimization,8,28,1.0000,7,0.0002709
approximation two factor,8,28,1.0000,8,0.0000296
approximation one by one,8,28,1.0000,7,0.0000305
exact exhaustive,8,28,1.0000,7,0.0004675
exact increasing size,8,28,1.0000,7,0.0001576
exact alex optimization,8,28,1.0000,7,0.0002622
approximation two factor,8,28,1.0000,8,0.0000295
approximation one by one,8,28,1.0000,7,0.0000362
exact exhaustive,8,28,1.0000,7,0.0002226
exact increasing size,8,28,1.0000,7,0.0001658
exact alex optimization,8,28,1.0000,7,0.0002769
approximation two factor,8,28,1.0000,8,0.0000512
approximation one by one,8,28,1.0000,7,0.0000437
exact exhaustive,9,7,0.1944,4,0.0002324
exact increasing size,9,7,0.1944,4,0.0000796
exact alex optimization,9,7,0.1944,4,0.0002246
approximation two factor,9,7,0.1944,8,0.0000435
approximation one by one,9,7,0.1944,5,0.0000448
exact exhaustive,9,6,0.1667,2,0.0002592
exact increasing size,9,6,0.1667,2,0.0000158
exact alex optimization,9,6,0.1667,2,0.0000848
approximation two factor,9,6,0.1667,4,0.0000165
approximation one by one,9,6,0.1667,4,0.000033
exact exhaustive,9,14,0.3889,5,0.0003058
exact increasing size,9,14,0.3889,5,0.0001121
exact alex optimization,9,14,0.3889,5,0.0003213
approximation two factor,9,14,0.3889,6,0.0000298
approximation one by one,9,14,0.3889,6,0.0000342
exact exhaustive,9,16,0.4444,4,0.0001529
exact increasing size,9,16,0.4444,4,0.0000581
exact alex optimization,9,16,0.4444,4,0.0001541
approximation two factor,9,16,0.4444,8,0.0000283
approximation one by one,9,16,0.4444,4,0.0000163
exact exhaustive,9,23,0.6389,6,0.0002569
exact increasing size,9,23,0.6389,6,0.0001852
